University Name,University Address,University Address : Street 1,University Address : Street 2,University Address : City,University Address : State,University Address : Zip,University Address : Country,University Address : Latitude,University Address : Longitude,University Number,Geographical Region,State
Santa Ana College,"1530 W 17th St Santa Ana, CA 92706",1530 W 17th St,,Santa Ana,CA,92706,,33.75992,-117.89008,686,West,California
Santa Clara University,"500 El Camino Real Santa Clara, CA 95053",500 El Camino Real,,Santa Clara,CA,95053,,37.35181,-121.93739,190,West,California
Santa Monica College,"1900 Pico Blvd Los Angeles, CA 90405",1900 Pico Blvd,,Los Angeles,CA,90405,,34.018867,-118.470294,492,West,California
Santa Rosa Junior College,"1501 Mendocino Ave Santa Rosa, CA 95401",1501 Mendocino Ave,,Santa Rosa,CA,95401,,38.45529,-122.71975,519,West,California
Sarah Lawrence College,"1 Mead Way Bronxville, NY 10708",1 Mead Way,,Bronxville,NY,10708,,40.93449,-73.84356,340,Northeast,New York
Saybrook University,"55 W Eureka St Pasadena, CA 91103",55 W Eureka St,,Pasadena,CA,91103,,34.15319,-118.15157,652,West,California
School of the Art Institute of Chicago,"116 S Michigan Ave Chicago, IL 60603",116 S Michigan Ave,,Chicago,IL,60603,,41.88022,-87.62497,191,Midwest,Illinois
Seattle University,"901 12th Avenue Seattle, WA 98122",901 12th Avenue,,Seattle,WA,98122,,47.61066,-122.31712,192,West,Washington
Seton Hall University,"400 W S Orange Ave South Orange, NJ 7079",400 W S Orange Ave,,South Orange,NJ,7079,,40.74782,-74.27071,193,Northeast,New Jersey
Shaw University,"118 E South St Raleigh, NC 27601",118 E South St,,Raleigh,NC,27601,,35.77199,-78.63823,654,South,North Carolina
Shenandoah University,"1460 University Dr Winchester, VA 22601",1460 University Dr,,Winchester,VA,22601,,39.16643,-78.1576,768,Northeast,Virginia
Siena College,"515 Loudon Rd Loudonville, NY 12211",515 Loudon Rd,,Loudonville,NY,12211,,42.71782,-73.75027,655,Northeast,New York
Simmons University,"300 Fenway Boston, MA 2115",300 Fenway,,Boston,MA,2115,,42.33924,-71.09955,381,Northeast,Massachusetts
Simpson College,"701 N C St Indianola, IA 50125",701 N C St,,Indianola,IA,50125,,41.36541,-93.56368,558,Midwest,Iowa
Skidmore College,"815 N Broadway Saratoga Springs, NY 12866",815 N Broadway,,Saratoga Springs,NY,12866,,43.09527,-73.77997,460,Northeast,New York
Smith College,"7 College Ln. Northhampton, MA 1063",7 College Ln.,,Northhampton,MA,1063,,42.31973,-72.64085,194,Northeast,Massachusetts
Solano Community College,"4000 Suisun Valley Road Fairfield, CA 94534",4000 Suisun Valley Road,,Fairfield,CA,94534,,38.23268,-122.12632,461,West,California
Southeastern Louisiana University,"500 W University Ave Hammond, LA 70402",500 W University Ave,,Hammond,LA,70402,,30.51934,-90.46979,657,South,Louisiana
Southern Connecticut State University,"501 Crescent St. New Haven, CT 06515",501 Crescent St.,,New Haven,CT,06515,,41.33112,-72.94771,565,Northeast,Connecticut
Southern Illinois University Carbondale,"1263 Lincoln Dr Carbondale, IL 62901",1263 Lincoln Dr,,Carbondale,IL,62901,,37.713826,-89.217543,758,Midwest,Illinois
Southern Illinois University Edwardsville,"1 Hairpin Dr. Edwarsville, IL 62025",1 Hairpin Dr.,,Edwarsville,IL,62025,,38.79429,-89.9989,195,Midwest,Illinois
Southern Methodist University,"6425 Boaz Lane Dallas, TX 75205",6425 Boaz Lane,,Dallas,TX,75205,,32.844338,-96.78585,196,South,Texas
Southern Oregon University,"1250 Siskiyou Blvd. Ashland, OR 97520",1250 Siskiyou Blvd.,,Ashland,OR,97520,,42.18575,-122.69434,549,West,Oregon
Southern Utah University,"351 W University Blvd Cedar City, UT 84720",351 W University Blvd,,Cedar City,UT,84720,,37.67523,-113.06726,197,West,Utah
Southwestern College - Professional Studies,"2800 S Rock Rd Wichita, KS 67210",2800 S Rock Rd,,Wichita,KS,67210,,37.64248,-97.24432,669,Midwest,Kansas
Spelman College,"350 Spelman Ln Atlanta, GA 30314",350 Spelman Ln,,Atlanta,GA,30314,,33.745398,-84.408782,198,South,Georgia
Stanford University,"450 Serra Mall Stanford, CA 94305",450 Serra Mall,,Stanford,CA,94305,,37.42765,-122.17006,202,West,California
State University of New York (SUNY) System,"353 Broadway Albany, NY 12246",353 Broadway,,Albany,NY,12246,,42.64118,-73.75117,462,Northeast,New York
St. Cloud State University,"720 4th Ave S St. Cloud, MN 56301",720 4th Ave S,,St. Cloud,MN,56301,,45.55218,-94.15241,199,Midwest,Minnesota
